trade_date,open,high,low,close,vol,amount
20011012,12.75,12.96,11.9,12.62,149809.29,186337.3182
20011019,12.61,13.39,12.35,12.72,386837.42,502052.5411
20011026,12.68,14.5,12.58,13.9,750089.18,1047115.8871
20011102,13.92,14.1,13.5,13.6,150686.89,207263.9221
20011109,13.55,13.58,12.55,13.32,172269.54,226705.5389
20011116,13.34,14.2,13.0,13.25,117490.97,157419.429
20011123,13.38,13.8,13.15,13.54,124159.9,168015.531
20011130,13.5,13.75,13.3,13.42,104590.61,140615.4169
20011207,13.42,13.65,13.13,13.19,160862.74,215053.4487
20011214,13.15,13.25,12.63,12.71,121688.02,157137.2621
20011221,12.69,12.8,12.25,12.33,113892.0,142316.4365
20011228,12.4,12.42,11.99,12.16,116857.13,141903.1689
20020104,12.2,12.3,12.07,12.11,33698.97,41055.0108
20020111,12.11,12.2,11.48,11.52,139478.46,163732.3783
20020118,11.41,11.42,10.0,10.19,200420.99,214456.3744
20020125,10.19,10.6,9.47,10.21,203904.95,204254.9086
20020201,10.22,10.78,9.45,10.38,226617.28,231224.399
20020208,10.38,10.98,10.25,10.66,202127.16,215223.3572
20020301,10.88,10.9,10.08,10.19,200032.64,206558.9548
20020308,10.19,11.68,10.11,11.41,497596.17,548753.1238
20020315,11.45,12.2,11.05,11.36,654154.14,761470.9617
20020322,11.51,12.07,11.4,11.48,483142.74,570376.0233
20020329,11.48,11.55,10.98,11.03,164378.61,185834.0485
20020405,11.03,11.25,10.57,11.15,132510.56,144754.8346
20020412,11.2,11.35,10.9,11.11,216867.74,239948.3193
20020419,11.05,11.13,10.43,10.48,123882.74,132458.8831
20020426,10.48,10.95,10.36,10.8,133893.96,142160.4553
20020503,10.85,11.79,10.7,11.5,233876.94,264931.5983
20020510,11.53,11.93,11.4,11.52,268621.31,313518.9241
20020517,11.5,11.58,10.91,11.3,227951.29,255565.5413
20020524,11.3,11.58,10.91,10.94,185276.57,208411.2711
20020531,10.9,11.46,10.8,11.16,159617.37,177571.2876
20020607,11.15,11.6,10.92,11.43,292820.72,331611.5155
20020614,11.42,11.83,11.12,11.17,181496.69,208477.4524
20020621,11.1,12.11,11.08,11.91,442975.78,517373.2187
20020628,13.1,15.5,12.81,15.0,3709368.24,5346451.9577
20020705,15.05,15.5,14.55,14.91,845620.08,1267053.5542
20020712,14.95,15.11,14.17,14.22,716842.03,1045664.3114
20020719,14.19,15.08,13.9,14.99,728713.26,1065199.8938
